JOB_ID,DESIGNATION,COMBINED_LOCATIONS,CITY,STATE,COUNTRY,Company_ID,Detailed_id
3785152,Assistant Manager - Sales,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107153,578152
3785153,Senior Executive - MIS,"Gurugram, Haryana, India",Gurugram, Haryana, India,11107154,578153
3785154,Python with SQL,"Pune, Maharashtra, India",Pune, Maharashtra, India,11107155,578154
3785155,Business Operations Associate,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107156,578155
3785156,RPA Developer,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107157,578156
3785157,Business Operations Analyst 2,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107158,578157
3785158,"Senior Analyst, Customer Analytics","Pune, Maharashtra, India",Pune, Maharashtra, India,11107159,578158
3785159,Associate Product Management Analyst,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107160,578159
3785160,Proposal Coordinator,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107161,578160
3785161,Business Operations Analyst 2,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107162,578161
3785162,Business Development (Sales) Internship in Ahmedabad at Plethora IT & HR Solutions,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107163,578162
3785163,Business Systems Analyst,"Pune, Maharashtra, India",Pune, Maharashtra, India,11107164,578163
3785164,Business Development Executive,"New Delhi, Delhi, India",New Delhi, Delhi, India,11107165,578164
3785165,Analyst - Development,"Gurgaon, Haryana, India",Gurgaon, Haryana, India,11107166,578165
3785166,Customer Experience Manager,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107167,578166
3785167,Database Administrator,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107168,578167
3785168,Internal Control Analyst,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107169,578168
3785169,Assistant,India,India,,,11107170,578169
3785170,Business Operations Associate,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107171,578170
3785171,R&D Graduate,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107172,578171
3785172,Assistant Manager SCM,"Dadra & Nagar Haveli, Daman and Diu, India",Dadra & Nagar Haveli, Daman and Diu, India,11107173,578172
3785173,Product Management Intern,"Gurugram, Haryana, India",Gurugram, Haryana, India,11107174,578173
3785174,Freshers/collage students,"Rajkot, Gujarat, India",Rajkot, Gujarat, India,11107175,578174
3785175,SQL & BI Developer,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107176,578175
3785176,Sales Trainee,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107177,578176
3785177,Business Development Executive,"Vadodara, Gujarat, India",Vadodara, Gujarat, India,11107178,578177
3785178,DM/ Manager - Reporting & Analysis,"Noida, Uttar Pradesh, India",Noida, Uttar Pradesh, India,11107179,578178
3785179,Specialist - Marketing (Explosives and Services),"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107180,578179
3785180,Commercial Analytics Analyst,"Bangalore Urban, Karnataka, India",Bangalore Urban, Karnataka, India,11107181,578180
3785181,Clinical Data Programmer,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107182,578181
3785182,Search Engine Optimization Executive,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107183,578182
3785183,Data Quality Engineer,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107184,578183
3785184,Consultant,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107185,578184
3785185,Social Media Analyst,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107186,578185
3785186,Associate Project Manager [T500-4940],"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107187,578186
3785187,Product Manager / Senior Product Manager,"Noida, Uttar Pradesh, India",Noida, Uttar Pradesh, India,11107188,578187
3785188,Sales Consultant,"Gujarat, India",Gujarat, India,,11107189,578188
3785189,Project Manager,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107190,578189
3785190,Engineer Design and Development,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107191,578190
